gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000000884,Gnb1l,4.21,4.01,4.59,4.67,4.26,4.16,5.84,5.25,4.21,3.04
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,1.71,2.6,1.09,1.28,1.83,1.05,1.7,1.25,3.29,1.31
ENSMUSG00000000902,Smarcb1,35.31,32.5,35.61,25.93,26.32,28.21,29.4,30.08,22.43,29.48
ENSMUSG00000000903,Vpreb3,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000915,Hip1r,42.32,51.41,35.33,31.82,34.47,46.92,39.91,35.45,29.91,25.17
ENSMUSG00000000916,Nsun5,4.76,3.49,4.33,3.28,5.09,3.07,4.2,3.58,3.58,5.4
ENSMUSG00000000934,Top1mt,7.06,7.4,8.87,4.97,5.67,5.86,6.21,5.15,4,5.78
ENSMUSG00000000938,Hoxa10,2.09,1.55,1.61,3.77,2.49,2.26,2.86,2.74,3.17,3.25
ENSMUSG00000000942,Hoxa4,0.52,0.52,0.47,0.18,0.25,0.44,0.4,0.45,0.33,0.16
ENSMUSG00000000957,Mmp14,53.54,51.98,78.75,113.06,128.21,31.37,60.4,48.81,78.42,84.78
ENSMUSG00000000958,Slc7a7,1.11,0.93,0.95,1.23,1.57,0.58,1.13,0.71,0.99,1.98
ENSMUSG00000000959,Oxa1l,16.42,16.38,18.06,12.06,13.63,12.81,14.23,13.94,10.2,13.12
ENSMUSG00000000976,Heatr6,6.06,5.35,5.27,4.78,5.06,4.59,4.74,4.67,3.92,5.01
ENSMUSG00000000982,Ccl3,0.91,1.12,10.79,0.28,0.25,1.31,1.03,2.51,0.21,0.07
ENSMUSG00000000983,Wfdc18,381.59,237.43,176.53,415.32,378.19,163.23,174.56,243.32,402.85,302.24
ENSMUSG00000001014,Icam4,0.03,0.05,0.02,0.02,0.07,0.04,0.03,0.17,0.04,0
ENSMUSG00000001016,Ilf2,26.15,19.47,25.93,18.67,18.23,17.88,20.74,23.23,17.86,22.88
ENSMUSG00000001017,Chtop,49.54,42.93,47.6,41.58,37.25,42.56,55.62,51.82,40.65,48.07
ENSMUSG00000001018,Snapin,20.39,19.21,21.56,16.63,13.35,20.84,21.54,21.77,14.9,16.3
ENSMUSG00000001020,S100a4,188.53,129.54,308.43,213.86,118.77,52.63,189.9,132.86,287.16,243.75
ENSMUSG00000001021,S100a3,44.69,55.75,44.28,207.42,530.26,42.43,31.47,45.33,104.95,261.74
ENSMUSG00000001023,S100a5,0.07,0,0,0,0,0,0,0,0,0.06
ENSMUSG00000001025,S100a6,446.31,425.66,564.12,507.95,322.05,253.55,342.42,357.63,463.38,453.49
ENSMUSG00000001027,Scn4a,0,0,0.01,0.02,0.04,0,0,0,0.01,0.02
ENSMUSG00000001029,Icam2,0.61,0.52,0.8,2.03,2.29,0.28,0.58,0.55,2.28,2.97
ENSMUSG00000001034,Mapk7,5.58,5.61,6.19,4.53,4.2,3.88,4.39,4.72,4.05,5.09
ENSMUSG00000001036,Epn2,26.95,30.91,28.78,25.29,19.07,31.26,32.07,31.51,22.17,29.35
ENSMUSG00000001039,B9d1,8.82,7.94,8.01,7.59,5.17,6.03,7.9,10.68,7.92,10.97
ENSMUSG00000001052,Sec24b,17.03,18.78,21.54,19.92,18.2,16.38,12.92,12.84,13.86,15.2
