gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000033760,Rbm4b,1.84,1.89,2.09,2.23,1.88,1.39,1.2,1.31,1.38,1.78
ENSMUSG00000033762,Recql4,0.8,0.46,1.05,0.46,0.87,0.25,0.21,0.3,0.23,0.62
ENSMUSG00000033763,Mtss1l,5.9,7.26,6.65,9.77,10.54,3.16,5.19,3.76,6.46,6.87
ENSMUSG00000033765,Calm4,5726.76,6173.37,3739.77,5053.85,2658.57,8616.01,6956.08,6432.7,3494.82,2829.69
ENSMUSG00000033767,D930015E06Rik,10.23,11.5,10.02,8.27,9.17,5.9,6.01,5.82,6.67,9.45
ENSMUSG00000033768,Nrxn2,0.1,0.07,0.07,0.18,0.27,0.03,0.05,0.01,0.11,0.12
ENSMUSG00000033769,Exoc6b,22.8,28.98,25.37,16.86,19.47,25.16,18.02,19.14,12.6,14.34
ENSMUSG00000033770,Clcnka,0.04,0,0,0,0.01,0,0,0,0,0
ENSMUSG00000033773,Rpap2,4.79,6.35,4.99,3.47,2.92,4.87,4.81,5.56,3.08,4.77
ENSMUSG00000033774,Npbwr1,0.04,0.01,0.03,0.01,0.02,0.03,0.01,0.03,0.01,0
ENSMUSG00000033777,Tlr13,0.23,0.17,1.13,0.35,0.36,0.17,0.23,0.17,0.39,0.32
ENSMUSG00000033781,Asb13,2.78,3.49,3.2,1.76,2.33,2.74,2.89,2.31,1.43,2
ENSMUSG00000033788,Dysf,1.68,1.27,1.88,3.68,5.33,0.42,0.71,0.67,2.8,3.6
ENSMUSG00000033790,Tubgcp5,5.34,6.66,5.81,3.63,5.1,4.6,5.69,4.05,3.06,4.49
ENSMUSG00000033792,Atp7a,10.62,10.64,10.11,12.3,15.06,10,6.83,7.67,7.3,8.34
ENSMUSG00000033793,Atp6v1h,28.59,29.38,31.85,24.42,23.48,27.56,26.28,28.96,17.04,22.75
ENSMUSG00000033794,Lpcat2b,0,0.01,0,0,0,0,0,0.01,0,0
ENSMUSG00000033799,Fam208b,5.47,6.81,6.46,5.39,7.25,4.54,4.7,4.02,4.62,6.24
ENSMUSG00000033805,Ephx4,0.48,0.7,0.51,0.3,0.3,0.53,0.24,0.63,0.21,0.18
ENSMUSG00000033808,Tmem87a,17.11,17.08,17.15,12.46,12.88,13.68,14.91,14.56,10.13,12.95
ENSMUSG00000033809,Alg3,9.44,11.01,10.55,6.45,11.74,9.4,5.93,8.34,4.66,7.33
ENSMUSG00000033813,Tcea1,37.61,37.15,40.84,26.9,24.25,36.74,34.94,35.75,21.22,27.29
ENSMUSG00000033819,Ppp1r16a,5.76,6.76,7.15,4.94,5.71,4.26,3.87,3.81,2.78,3.88
ENSMUSG00000033825,Tpsb2,0.3,0.45,0.56,0.1,0.5,0.06,0.77,0.4,0.63,0.69
ENSMUSG00000033826,Dnah8,0.63,0.44,0.16,0.09,0.25,0.08,0.16,0.12,0.41,0.07
ENSMUSG00000033831,Fgb,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033834,Tpbpa,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033837,Foxh1,0,0,0,0,0.01,0,0.03,0,0,0
ENSMUSG00000033845,Mrpl15,24.94,21,24.53,14.23,15.02,22.81,21.6,18.38,9.45,13
ENSMUSG00000033847,Pla2g4c,0.08,0.08,0.07,0.04,0.06,0.09,0.03,0.1,0.04,0.06
ENSMUSG00000033849,B3galt2,0.02,0.02,0.08,0.05,0.03,0,0.02,0.01,0.03,0.04
ENSMUSG00000033850,Olfr1015,0,0,0.01,0.03,0.01,0,0,0,0,0.02
ENSMUSG00000033852,Gm28042,0.15,0.27,0,0.12,0.5,0.1,0.15,0.04,0.46,0.26
ENSMUSG00000033854,Kcnk10,0.03,0.01,0.03,0.02,0,0,0.02,0.01,0.01,0.01
ENSMUSG00000033855,Ston1,13.5,17.51,18.24,11.29,11.64,16.34,13.88,12.65,7.2,10.12
ENSMUSG00000033857,Engase,4.77,4.27,3.75,2.61,6.82,3.93,2.7,3.7,2.48,4.82
ENSMUSG00000033860,Fgg,0,0.01,0,0,0,0,0,0,0,0.02
ENSMUSG00000033862,Cdk10,4.51,5.6,4.82,3.99,5.37,3.42,3.62,4.16,2.96,2.81
ENSMUSG00000033863,Klf9,9.5,13.88,11.67,4.37,10.85,16.97,10.08,10.81,4.69,7.44
ENSMUSG00000033871,Ppargc1b,2,2.14,3.19,1.26,1.12,1.48,1.26,1.57,0.63,0.98
ENSMUSG00000033880,Lgals3bp,2.75,1.91,5.82,6.46,7.61,1.25,3.1,2.06,2.99,3.17
